L00001,Referral,39,Female,Self-employed,60679.91015625,Divorced,British Columbia,Credit Card,2,2.88000011444092,8,80,0,0,0,0,Branch,0.772000014781952,High,0,NULL,0,0,0,0,2.3,35-44,0,3,1.52
L00002,Partnership,19,Male,Part-time,48959.3203125,Single,Quebec,Credit Card,2,18.5799999237061,0,30,0,0,0,0,Website,0.474999994039536,Medium,0,NULL,0,0,0,0,0.3,18-24,0,2,0.52
L00003,Social Media,21,Male,Unknown,28953.990234375,Married,British Columbia,Investment,2,21.3799991607666,0,111,2,0,1,0,Branch,0.425000011920929,Medium,1,Investment,2378,39.0900001525879,54,2110.98999023438,0.9,18-24,0,2,0.76
L00004,Branch Walk-in,62,Female,Part-time,75863.0703125,Single,Quebec,Credit Card,1,11.3800001144409,7,63,0,1,0,1,Website,0.73199999332428,High,1,Credit Card,1498,110.629997253418,43,4757.22998046875,2.2,55-64,0,1,1.08
L00005,Online Ad,30,Female,Self-employed,48526.55078125,Married,Ontario,Chequing Account,8,20.1499996185303,9,52,2,1,0,0,Website,0.377000004053116,Medium,0,NULL,0,0,0,0,4.35,25-34,0,3,2.34
L00006,Online Ad,49,Male,Student,63816.23828125,Married,Ontario,Credit Card,4,12.9300003051758,5,22,0,1,0,0,Call,0.50900000333786,Medium,0,NULL,0,0,0,0,2.15,45-54,0,2,1.26
L00007,Online Ad,39,Female,Part-time,62894.1484375,Single,Ontario,Chequing Account,2,29.7999992370605,7,115,1,1,1,0,Call,0.490000009536743,Medium,1,Chequing Account,2622,205.210006713867,37,7592.68017578125,2.65,35-44,1,3,2.86
L00008,Partnership,42,Female,Full-time,86361.9765625,Married,Ontario,Credit Card,2,11.5299997329712,1,119,0,0,0,1,Call,0.806999981403351,High,1,Credit Card,4788,133.740005493164,46,6152.14013671875,0.55,35-44,1,3,2.02
L00009,Branch Walk-in,44,Female,Student,15000,Married,Quebec,Chequing Account,1,29.8600006103516,2,25,2,0,1,1,Call,0.430000007152557,Medium,1,Chequing Account,7878,50.8400001525879,36,1830.39001464844,1.25,35-44,0,3,1.1
L00010,Social Media,34,Female,Full-time,115072.90625,Married,Ontario,Credit Card,6,4.67999982833862,2,93,1,0,0,0,Website,0.958000004291534,High,1,Credit Card,4013,147.110000610352,42,6178.66015625,1.7,25-34,1,3,2.48
L00011,Online Ad,23,Male,Full-time,81397.6875,Married,Quebec,Investment,2,23.1800003051758,0,2,0,0,0,1,Website,0.670000016689301,High,1,Investment,8878,268.730010986328,49,13167.66015625,0.3,18-24,1,2,1.72
L00012,Partnership,60,Female,Full-time,86116.0390625,Divorced,Alberta,Chequing Account,8,0.46000000834465,0,53,1,0,1,1,Call,0.898999989032745,High,1,Chequing Account,948,266.559997558594,18,4798.080078125,1.5,55-64,0,2,1
L00013,Social Media,68,Male,Part-time,48750.76171875,Single,Ontario,Mortgage,7,13.6700000762939,7,72,1,0,0,0,Email,0.474999994039536,Medium,1,Mortgage,2593,197.990005493164,52,10295.7099609375,3.1,65+,1,1,2.64
L00014,Online Ad,33,Female,Full-time,70076.0234375,Married,Unknown,Credit Card,5,20.0900001525879,1,32,0,0,1,1,Email,0.675000011920929,High,0,NULL,0,0,0,0,1,25-34,0,3,1
